Time,Food Count,Fox Count,Rabbit Count
0.9858434,20,5,10
1.995509,19,5,10
3.154874,18,5,10
4.172809,16,5,10
5.349542,16,5,9
6.361556,20,5,8
7.361594,17,5,7
8.366865,16,5,7
9.376747,16,5,7
10.3779,16,6,8
11.38341,15,6,8
12.38585,15,6,7
13.38824,12,6,7
14.39225,11,6,6
15.39273,10,6,6
16.40051,9,6,6
17.41364,6,6,6
18.41841,10,6,6
19.4287,9,6,6
20.43214,9,7,7
21.43981,9,7,5
22.44868,9,7,5
23.46618,8,7,5
24.47269,13,7,5
25.47637,13,7,5
26.48164,12,7,5
27.48396,12,7,5
28.48663,12,7,4
29.48691,10,7,4
30.48704,9,8,5
31.48952,8,8,5
32.49325,13,8,5
33.50018,12,8,4
34.50999,11,8,3
35.51253,11,8,2
36.5176,11,8,1
37.52002,10,8,1
38.52244,15,8,1
39.53275,14,8,1
40.53447,14,9,2
41.53968,12,9,2
42.5473,12,9,2
43.55019,11,9,2
44.55957,9,9,2
45.5682,6,9,1
46.57817,6,9,1
47.58123,5,9,1
48.58666,5,9,1
49.59505,5,9,1
50.59693,9,10,2
51.59859,9,10,2
52.59975,8,10,2
53.60227,8,10,2
54.60321,8,10,1
55.60617,8,10,1
56.61236,7,10,1
57.61638,7,10,1
